2023-06-05 11:53:15[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:53:15[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:53:15[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:53:15[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:53:15[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:53:15[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:53:15[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:53:15[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:53:15[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:53:16[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:53:16[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:53:16[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:53:16[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:53:17[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:53:17[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:57:58[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:58:03[ INFO ]TestController: >>test测试成功
2023-06-05 11:58:03[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:58:03[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:58:03[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:58:04[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:58:04[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:58:04[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:58:04[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:58:04[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:58:04[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:58:04[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:58:04[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:58:05[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:58:05[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:58:05[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:58:05[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 11:59:52[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 11:59:57[ INFO ]TestController: >>test测试成功
2023-06-05 11:59:57[ INFO ]UserController: >>login登录测试成功
2023-06-05 11:59:57[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 11:59:57[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 11:59:57[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 11:59:57[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 11:59:57[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 11:59:57[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 11:59:57[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 11:59:57[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 11:59:58[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 11:59:58[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 11:59:58[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 11:59:58[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 11:59:58[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 11:59:59[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 12:01:48[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 12:01:53[ INFO ]TestController: >>test测试成功
2023-06-05 12:01:53[ INFO ]UserController: >>login登录测试成功
2023-06-05 12:01:53[ ERROR ]UserController: >>deleteUser用户删除测试失败
2023-06-05 12:01:54[ ERROR ]UserController: >>updateUser用户更新测试失败
2023-06-05 12:01:54[ INFO ]UserController: >>selectAll所有用户查询测试成功
2023-06-05 12:01:54[ INFO ]UserController: >>insertUser用户插入测试成功
2023-06-05 12:01:54[ INFO ]UserController: >>selectUser用户查询测试成功
2023-06-05 12:01:54[ INFO ]UserEntity: >>allArgsConstructor全参构造测试成功
2023-06-05 12:01:54[ INFO ]UserEntity: >>canEqual测试成功
2023-06-05 12:01:54[ INFO ]UserEntityMapper: >>login登录测试成功
2023-06-05 12:01:54[ INFO ]UserEntityMapper: >>selectUserIdByUsername用户查询测试成功
2023-06-05 12:01:54[ ERROR ]UserEntityMapper: >>deleteUser用户删除测试失败
2023-06-05 12:02:02[ ERROR ]UserEntityMapper: >>updateUser用户更新测试失败
2023-06-05 12:02:02[ INFO ]UserEntityMapper: >>selectAll所有用户查询测试成功
2023-06-05 12:02:02[ INFO ]UserEntityMapper: >>insertUser用户插入测试成功
2023-06-05 12:02:02[ INFO ]UserEntityMapper: >>selectUser用户查询测试成功
2023-06-05 12:05:24[ INFO ]User: >>allArgsConstructor全参构造测试成功
2023-06-05 12:05:32[ INFO ]TestController: >>test测试成功
2023-06-05 12:05:32[ INFO ]UserController: >>login登录测试成功
